area,short names,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFG,employment_agri_female,76.38,76.41,76.76,76.34,76.65,77.05,77.41,77.75,78.19,78.79,79.64,78.72,78.39,78.96,78.09,77.64,76.38,76.16,74.22,72.9,72.41,70.95,69.99,69.18,68.6,67.56,66.22,65.77,64.96,,
AGO,employment_agri_female,45.75,46.57,47.1,47.46,46.82,46.24,45.47,44.42,45.24,44.93,44.1,43.99,43.98,44.23,46.08,47.78,49.38,51.14,52.75,55.47,58.01,58.45,58.46,58.2,57.8,57.52,57.2,57.06,56.78,,
ALB,employment_agri_female,66.16,65.1,64.57,63.97,63.27,64.84,65.49,65.02,64.75,63.98,63.2,62.19,61.06,60.35,59.66,58.54,57.73,56.89,57.22,53.09,54.37,57.0,53.17,49.88,47.68,45.23,42.39,42.28,41.63,,
AND,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,employment_agri_female,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,
ARG,employment_agri_female,0.14,0.32,0.3,0.24,0.37,0.22,0.26,0.23,0.24,0.24,0.3,0.47,0.98,0.97,0.73,0.49,0.42,0.35,0.4,0.38,0.29,0.29,0.23,0.16,0.07,0.03,0.02,0.06,0.03,,
ARM,employment_agri_female,48.52,48.34,48.29,48.59,48.75,48.8,48.73,48.55,48.23,47.94,47.46,46.97,46.31,45.74,45.24,44.53,43.86,44.88,45.74,47.27,45.62,44.01,44.72,40.57,40.08,36.91,34.86,28.65,26.89,,
ATG,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,employment_agri_female,3.85,3.61,3.62,3.52,3.49,3.39,3.47,3.45,3.5,3.43,3.45,3.03,2.62,2.68,2.45,2.36,2.27,2.22,2.22,2.28,1.89,1.92,1.67,1.83,1.85,1.68,1.65,1.68,1.71,,
AUT,employment_agri_female,8.9,8.66,8.35,7.99,8.19,8.59,7.73,7.23,6.96,6.38,6.28,6.08,5.78,4.86,5.29,5.29,5.62,5.23,5.2,4.99,4.66,4.24,4.18,4.57,4.21,3.93,3.68,3.28,3.18,,
AZE,employment_agri_female,45.09,45.91,45.68,45.77,47.41,47.25,47.69,47.44,47.75,46.2,42.79,39.34,38.73,38.03,37.35,43.31,41.99,40.68,44.17,44.53,43.94,43.92,43.54,42.66,42.06,42.11,42.18,41.98,41.8,,
