Country,Short Names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
ARG,meat_consumption_1,2588.922,2448.667,2441.882,2507.867,2388.224,2173.938,2226.499,2285.148,2144.908,2383.908,2385.107,2342.406,2180.404,2277.857,2403.58,2379.357,2475.541,2687.746,2705.482,2715.874,2314.788,2266.864,2414.409,2655.708,2494.649,2527.844,2426.619,2484.0,2464.0,2430.0,2382.076,2401.035,2425.012,2437.017,2449.171,2462.158,2472.999,2484.348,2495.4,2506.787
AUS,meat_consumption_1,0.0,686.147,656.427,663.141,652.496,656.123,713.345,761.754,710.694,754.07,719.378,674.711,700.181,727.715,815.597,783.783,792.609,722.101,711.36,728.772,801.045,749.784,734.056,788.813,761.393,701.529,674.949,746.355,710.146,709.223,708.097,706.864,710.84,709.891,704.028,708.043,712.147,716.071,719.996,723.957
BRA,meat_consumption_1,4441.969,4480.047,4526.875,4663.653,5297.496,5996.039,6224.332,5903.084,5689.546,6142.739,6301.641,6326.587,6591.21,7712.832,7275.638,7902.987,8623.834,8354.419,7403.42,7110.986,7360.084,7309.01,7448.019,7973.897,7543.149,7293.165,7478.075,7533.468,7559.782,7593.866,7422.823,7521.843,7555.366,7619.04,7670.758,7745.202,7762.803,7770.092,7774.418,7784.403
CAN,meat_consumption_1,983.68,974.36,960.85,930.05,957.6,971.12,969.93,981.77,1002.7,1030.28,1022.99,992.56,998.37,1064.09,1032.22,1010.613,1009.173,1041.813,1022.674,985.09,990.53,977.16,998.39,999.02,977.06,907.51,952.0,958.86,975.67,941.857,947.763,945.918,942.617,939.652,938.45,935.205,932.05,930.862,929.264,927.806
CHE,meat_consumption_1,174.454,178.329,178.329,172.508,158.393,158.188,161.38,161.559,159.098,157.971,149.838,149.105,152.466,150.595,151.008,153.487,158.191,157.752,166.453,166.63,172.565,176.419,174.004,166.115,166.367,164.041,167.048,162.048,162.048,161.657,162.049,161.98,162.045,162.02,161.953,161.954,161.901,162.36,162.828,163.274
CHL,meat_consumption_1,245.329,241.618,236.37,269.71,293.038,323.359,340.588,366.935,349.254,331.723,341.398,310.086,328.07,358.746,374.294,402.396,352.717,382.094,359.767,364.325,374.144,347.028,362.875,428.119,442.921,442.557,482.422,452.611,485.34,527.0,534.711,543.809,553.072,561.963,570.422,578.469,586.269,593.86,601.627,609.356
CHN,meat_consumption_1,1074.938,1278.732,1725.372,2186.401,2676.4,3463.373,3476.646,4329.813,4726.792,5013.457,4949.386,5040.833,5196.594,5382.253,5534.334,5578.666,5646.492,6013.338,6044.516,6209.607,6231.916,6042.417,6142.148,6422.506,6440.543,6690.265,6833.547,7150.773,7377.397,8369.277,8606.817,8546.711,8472.769,8396.019,8321.715,8250.642,8286.993,8307.58,8330.168,8350.721
COL,meat_consumption_1,734.93,676.335,587.024,601.218,648.047,702.26,731.707,764.881,765.401,716.842,749.426,694.805,674.655,638.309,704.804,782.8,804.83,775.946,763.957,706.609,766.225,816.772,846.053,819.14,830.899,845.885,787.822,735.314,750.763,607.48,618.438,629.781,640.862,651.984,663.071,674.33,685.437,696.531,707.646,718.766
EGY,meat_consumption_1,402.438,466.844,466.626,529.877,556.084,544.545,573.259,637.372,654.246,690.106,768.919,654.327,815.884,775.033,803.732,906.108,1018.44,1055.449,970.683,1007.136,1115.347,1066.814,1166.142,1148.322,1203.968,1221.407,1214.015,1139.44,1096.082,1130.091,1147.099,1172.508,1195.389,1218.223,1241.302,1265.36,1287.223,1309.502,1331.575,1353.986
ETH,meat_consumption_1,231.5,231.5,230.0,230.0,229.986,234.927,266.927,269.985,273.955,290.014,294.033,303.504,352.497,338.295,336.024,350.262,373.978,363.021,380.049,354.749,419.113,409.776,337.636,340.616,380.806,390.969,388.314,391.532,390.0,392.867,400.4,409.451,418.055,426.562,435.011,443.673,452.08,460.507,468.933,477.422
GBR,meat_consumption_1,1102.267,1124.156,1086.1,927.771,940.917,983.175,813.372,862.714,853.618,855.597,892.427,899.846,983.047,999.685,1033.938,1037.45,1069.418,1090.472,1060.779,1022.208,1075.546,1062.388,1039.903,1023.414,1060.65,1094.539,1107.867,1115.878,1125.594,1100.526,1098.687,1107.076,1109.805,1104.646,1102.863,1102.817,1100.923,1099.64,1105.769,1107.066
IDN,meat_consumption_1,305.855,313.434,346.463,402.142,391.6,369.608,417.09,432.223,400.702,384.262,422.52,404.567,387.977,421.629,504.458,425.012,473.796,433.704,490.388,532.392,589.601,604.01,590.801,605.62,631.166,611.63,704.347,712.766,775.109,831.35,846.977,864.895,882.144,899.582,917.488,936.014,954.416,973.39,992.717,1012.425
IND,meat_consumption_1,2050.966,2059.275,2091.774,2080.765,2075.36,2041.208,2053.352,2044.225,2071.752,2063.095,1953.795,2004.632,1956.635,1867.213,1858.992,1779.842,1765.729,1805.257,1822.301,1897.178,1646.553,1339.879,1208.681,835.072,642.944,839.343,886.248,815.987,1089.271,1039.304,1050.979,1069.44,1083.922,1101.079,1114.054,1131.926,1147.422,1160.146,1173.833,1184.822
IRN,meat_consumption_1,345.56,291.8,285.96,325.12,316.359,308.92,386.0,386.781,389.36,327.408,310.871,341.075,375.549,374.452,419.093,397.796,480.869,510.5,460.585,468.428,601.584,559.972,498.163,497.371,535.828,567.646,604.786,632.954,661.981,675.701,688.943,704.82,719.476,733.842,747.983,762.228,775.428,788.47,801.22,813.953
ISR,meat_consumption_1,64.074,81.721,69.344,75.899,102.537,94.052,106.752,116.102,112.493,113.355,142.024,132.807,158.422,166.377,82.988,159.13,211.987,191.197,237.741,185.378,200.427,211.743,199.793,260.307,211.825,215.435,237.52,248.565,275.935,284.0,288.964,294.235,299.537,304.935,310.438,316.063,321.735,327.516,333.399,339.396
JPN,meat_consumption_1,1067.243,1142.37,1190.669,1308.383,1441.19,1517.9,1441.213,1463.358,1486.629,1486.738,1570.034,1282.592,1302.383,1276.909,1275.117,1142.902,1135.178,1171.14,1172.563,1192.209,1231.567,1233.994,1234.866,1233.086,1224.719,1150.322,1254.533,1275.113,1336.632,1366.697,1380.965,1378.735,1376.495,1357.648,1353.09,1349.406,1344.102,1339.297,1334.834,1329.991
KAZ,meat_consumption_1,710.0,724.0,593.206,651.306,614.695,515.703,439.578,364.197,344.038,340.692,314.203,299.272,307.269,327.029,346.012,372.991,405.625,436.184,446.587,431.587,433.083,443.084,436.799,450.397,459.14,468.137,472.887,498.161,520.005,523.2,531.866,539.772,548.565,559.179,566.935,574.462,581.472,588.371,595.196,601.94
KOR,meat_consumption_1,0.0,315.039,355.016,335.233,361.695,419.442,438.783,500.749,453.449,542.985,571.881,499.0,571.263,553.643,448.207,415.754,463.704,493.536,505.262,523.328,564.912,627.21,639.583,671.544,713.675,726.628,729.746,762.168,791.703,865.1,867.928,872.762,877.592,882.426,887.253,892.083,896.915,899.747,903.579,907.409
MEX,meat_consumption_1,885.416,1096.477,1165.183,1075.554,1285.064,1119.742,1321.371,1377.33,1507.122,1515.51,1524.53,1583.0,1717.57,1613.165,1553.857,1616.017,1538.146,1669.408,1776.01,1695.545,1624.429,1496.711,1516.946,1531.758,1532.06,1551.635,1609.356,1633.086,1666.224,1670.708,1652.375,1672.105,1690.816,1714.723,1742.251,1758.614,1779.542,1790.538,1801.876,1809.618
MYS,meat_consumption_1,66.578,77.073,80.092,83.564,92.372,103.367,114.913,115.326,103.485,114.855,139.217,84.334,152.202,153.57,187.123,187.122,180.469,179.425,164.9,179.895,184.207,197.777,205.341,225.84,232.616,255.592,240.699,235.761,242.468,246.9,254.005,262.691,270.986,279.258,287.312,295.112,302.919,310.37,318.027,325.629
