Short Names ,Indicator name,Definition (if any),Category,Sub_Category,Unit,,
total_emissions_agr_1,Total Emissions in agriculture,Digestive process by which carbohydrates are broken down by micro organisms into simple molecules for absorption into the bloodstream of an animal. Greenhouse gas emissions from enteric fermentation consist of methane gas.,Agricultural Sub-sector,Enteric Fermentation,CO2eq gigagrams,,
total_emissions_agr_2,Total Emissions in agriculture,"Refers to capture, storage, treatment, and utilization of animal manure. Greenhouse gas emissions from manure management consist of methane and nitrous oxide gases from aerobic and anaerobic manure decomposition processes.",Agricultural Sub-sector,Manure Management,CO2eq gigagrams,,
total_emissions_agr_3,Total Emissions in agriculture,Agricultural practice for growing rice seeds. Greenhouse gas emissions from rice cultivation consist of methane gas from the anaerobic decomposition of organic matter in paddy fields.,Agricultural Sub-sector,Rice Cultivation,CO2eq gigagrams,,
total_emissions_agr_4,Total Emissions in agriculture,,Agricultural Sub-sector,Synthetic Fertilizers,CO2eq gigagrams,,
total_emissions_agr_5,Total Emissions in agriculture,,Agricultural Sub-sector,Manure applied to Soils,CO2eq gigagrams,,
total_emissions_agr_6,Total Emissions in agriculture,,Agricultural Sub-sector,Manure left on Pasture,CO2eq gigagrams,,
total_emissions_agr_7,Total Emissions in agriculture,,Agricultural Sub-sector,Crop Residues,CO2eq gigagrams,,
total_emissions_agr_8,Total Emissions in agriculture,,Agricultural Sub-sector,Cultivation of Organic Soils,CO2eq gigagrams,,
total_emissions_agr_9,Total Emissions in agriculture,,Agricultural Sub-sector,Burning - Crop residues,CO2eq gigagrams,,
total_emissions_agr_10,Total Emissions in agriculture,,Agricultural Sub-sector,Burning - Savanna,CO2eq gigagrams,,
total_emissions_agr_11,Total Emissions in agriculture,,Energy carrier used,Coal,CO2eq gigagrams,,
total_emissions_agr_12,Total Emissions in agriculture,,Energy carrier used,Electricity,CO2eq gigagrams,,
total_emissions_agr_13,Total Emissions in agriculture,,Energy carrier used,Fuel Oil,CO2eq gigagrams,,
total_emissions_agr_14,Total Emissions in agriculture,,Energy carrier used,Gas-Diesel oil,CO2eq gigagrams,,
total_emissions_agr_15,Total Emissions in agriculture,,Energy carrier used,Liquefied petroleum gas (LPG),CO2eq gigagrams,,
total_emissions_agr_16,Total Emissions in agriculture,,Energy carrier used,Motor Gasoline,CO2eq gigagrams,,
total_emissions_agr_17,Total Emissions in agriculture,,Energy carrier used,Natural gas (including LNG),CO2eq gigagrams,,
