area,Source,short names,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,FAOSTAT_3,total_fertilizers,44500,48600,45800,40000,,,5000,5000,7000,5000,5000,18400,24526.53,27035.26,33169.37,29774.39,24869.52,16377.29,14432.03,14712.11,13854.86,29816.2,18523.47,38011.93,79000.86,31232.39,105733.85,157464.02,58933.16,85464.8
AGO,FAOSTAT_3,total_fertilizers,9500,6900,9100,8000,10000,8000,6000,2000,3400,3400,1400,,5143,5903,14855,7460,12078,11237,28080,21889,34563,56324,41717.43,45393.39,45371,39436.84,35482.22,52305.94,38857.46,36269.8
ALB,FAOSTAT_3,total_fertilizers,102000,31300,23500,17890,14770,11000,6500,5200,25000,10600,18700,18700,56404,57406.71,58555.64,60457.92,50108.64,51106.74,47158.94,55040.42,53224.98,60604.12,57614.41,54410.38,54410.3,66327,78243.7,61082.86,40706.52,57607.99
ARE,FAOSTAT_3,total_fertilizers,12500,17470,22300,27700,29400,32000,32200,32300,35400,36200,35100,35000,48360,48360,48360,45360,42220,41950,41210,31090,37310,40590,31470,38770,27682.89,31528.29,31528.29,31528.29,31528.29,31528.29
ARG,FAOSTAT_3,total_fertilizers,165500,167300,248200,293900,462000,524700,855200,809600,775500,823500,862983,861991,842378,1200310,1394388,1197545,1443348,1794570,1241715,788194,1488126,1617843,1372564,1428027,1379654.32,1069248.59,1612290.23,1658455.24,1890880.06,2075931.76
ARM,FAOSTAT_3,total_fertilizers,,,25000,15000,7000,7000,8000,8000,9620,6158,7000,5000,15708,10464,14401,10325,57900.5,26820,24390.3,39547.4,29625.6,36366.3,58026.6,59192.6,53113.1,65039.5,147530.9,90339.3,90339.3,90339.3
ATG,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,52,109,30,24,18,2,14,53,12,13,39.39,50.12,31.81,21.9,72.85,21.05,12.9,41.09
AUS,FAOSTAT_3,total_fertilizers,1168557.14,1290312.31,1424472.65,1517963.67,1733243.93,1875501.26,2024174.5,2193249.74,2258722.78,2361860.67,2284299.16,2472969.49,2265940.25,2173753.46,2432276.91,2215978,2073872.57,2065702.1,1873821.79,1653681.38,1971550.96,2158904.74,2196325.83,2273989.5,2544376.31,2470711.37,2677682.25,2746921.84,2659740.28,2583112.36
AUT,FAOSTAT_3,total_fertilizers,303300,288700,267000,262000,250000,237000,237336,263361,246338,232711,225433,218214,224822,189642,189678,181842,179409,187187,228873,118321,136116,180464,156397,177237,176905,200193.9,185264.17,187422.15,176710.1,157087.3
AZE,FAOSTAT_3,total_fertilizers,,,75000,54000,39000,39000,16600,23700,15800,13800,4100,11900,19170,14050,22042,24626,24561,19722,38948,25133,18756,29369,36184.31,38433.71,61170.3,98757,88385,76813,127300.36,158439
BDI,FAOSTAT_3,total_fertilizers,2100,2100,5201,3844,3100,3000,2800,1000,3615,3970,3500,3500,1325,301,1095,3390,3009,1716,1954,1768,3446,5635,6375.16,11161.75,12978.17,10003.5,17299.57,21301.95,28537.11,24224.44
BEL,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,271417,283417,283316,280211,274382,281139,189468,236892,271005,262190,263827,262231,248393,253394,250416,251535.85,255547,255396
BEN,FAOSTAT_3,total_fertilizers,11003,11817,15325,17238,17055,36000,30681,38968,37707,56700,35200,31100,41735,2126,145,1226,33,614,801,16360,22835,11100,26755.09,13506.15,21833.68,359.73,27858.11,45.91,102575.23,155298.28
BFA,FAOSTAT_3,total_fertilizers,21166,20686,21336,21000,22651,24308,24095,42577,50232,43400,33923,1671,2010,52996,57687,74694,63000,49495,57207,53876,56571,61004,81401.83,95856.94,95284.54,97732.17,130641.1,109044.72,105432.82,57060.75
BGD,FAOSTAT_3,total_fertilizers,933622,1004400,998762,945583,1049367,1195000,1230525,1109200,1170500,1365700,1320198,1449623,1556839,1318676,1389777,1564390,1522338,1441357,1561100,1472297,1659202,1963760,1997600,1954820,2141340,2311680,2246980,2356000,2475220,2517740
BGR,FAOSTAT_3,total_fertilizers,684900,471583,236963,204939,225068,124000,192000,199829,169000,122606,151500,200082,381693,489569,267862,235538,231580,314699,343518,329073,309212,432518,318000,379692,379288,428191,482548,455782.15,458520.43,472183.94
BHR,FAOSTAT_3,total_fertilizers,602,700,700,600,600,600,600,600,1128,433,346,300,1994.63,1994.63,1994.63,1994.63,1994.63,1350.36,2499.28,1376.53,2752.33,1994.63,1994.63,1994.63,1994.63,1994.63,1994.63,1994.63,1994.63,1994.63
BHS,FAOSTAT_3,total_fertilizers,100,300,300,200,200,200,400,300,300,300,300,800,,,,,,,,,,,1240.78,1075.68,1219.55,1506.14,2182.84,2625.81,2788.8,2788.8
BIH,FAOSTAT_3,total_fertilizers,,,,,,15000,9000,9000,47000,42000,41800,32600,32600,17957,59808.39,59032.81,43331.09,46079.46,59662.22,72566.97,81856,103895,121106.21,102550.04,120754.61,131750.19,110711,112867.47,87220.9,88784.14
BLR,FAOSTAT_3,total_fertilizers,,,1395000,752000,540000,523000,777000,855000,925000,791000,805000,760000,763700,755300,815100,929400,1285100,1205100,1309600,1558500,1497000,1680200,1498594,1425190,1218623,1102475,833351,815790,892133,879324
BLZ,FAOSTAT_3,total_fertilizers,5100,5200,5800,6400,4600,5000,3300,4800,5638,6095,6140,4700,25741,26766,5506,5670,6248,4261,3483,8865,4351,17603,10925.5,30350.6,29188.98,33670.49,36367.41,30009.11,21481.34,41380.15
BOL,FAOSTAT_3,total_fertilizers,5162,7752,13737,10155,10796,6769,9059,12555,5054,1940,7503,11529,13341,12916,18125,24636,15478,24556,20088,22962,31177,34778,35166.21,43796.73,40473.99,40572.19,33953.09,39571.55,35632,29616.78
BRA,FAOSTAT_3,total_fertilizers,3207800,3386800,3535540,4450000,5017800,4205900,5020000,5839900,5851100,5869772,6568000,6838000,7685196.21,8905665.74,10975249.62,8425089.3,9028448.81,11549175.6,10768013.79,7540435.57,10424767.72,13081009.13,12116475.02,14147326.89,15363337.57,12809826.43,13243632.77,15386626.26,16386486.87,16546145.71
BRB,FAOSTAT_3,total_fertilizers,2700,2700,2700,2700,2700,3200,3200,3200,3000,3000,3000,3000,642,1116,2785,1418,1807,1737,1757,1001,1621,1059,1995.22,1268.9,720.1,986.22,796.63,1034.98,545.92,380.78
BRN,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,672,204,303,617,132,1131,338,412,1727,470,454,223,709,709,709,709,709,709
BTN,FAOSTAT_3,total_fertilizers,100,100,100,100,100,100,100,100,,,,,1083,1098,1169,1262,1153,1228,1166,2396,1010,1308,1070.94,1217.94,1422.91,1479.01,1406.91,1254.28,2000.69,1345.34
BWA,FAOSTAT_3,total_fertilizers,900,900,900,1000,1000,2284,3341,3800,4248,4600,4600,4600,,,,,,,,15359,21530,9616,15628,22545,23253,17142.15,12180.85,8614.49,15116.66,13335.69
CAF,FAOSTAT_3,total_fertilizers,940,900,1100,1200,300,300,300,300,600,600,600,600,78.77,0.32,129.92,245.08,428.03,604.1,399.28,406.06,539.67,800.51,507.31,259.06,10.79,613.76,404.37,336.18,336.18,337.9
CAN,FAOSTAT_3,total_fertilizers,2073852,2173084,2261141,2359214,2394685,2567805,2696330,2726000,2649000,2689240,2445389,2474115,2635197,2685508,2481366,2798402,2120036,3065439,2830666,2726361,3002013,3612675,3911963.27,3646000,3885000,3995000,3825000,3921000,4326000,4077000
CHE,FAOSTAT_3,total_fertilizers,167900,159000,152000,151000,145000,135000,125000,121000,120027,102000,88942,98332,80111,82751,87982,92599,93062,93476,92341,77477,88336,84397,67691.44,81970.42,83244.15,83238.87,84567.26,79592.17,74767.62,65174.17
CHL,FAOSTAT_3,total_fertilizers,306682,306000,344000,385000,381000,405000,423000,435000,470000,475196,482000,474800,476027,485593,568711,473292,509481,604313,615981,540474,568699,491894,488978,518411,532147,595439,495014.73,454821.64,454350.8,460239.74
CHN,FAOSTAT_3,total_fertilizers,27273700,29659100,29202000,25079300,28842000,35580200,35984000,35646700,35830000,36439000,34217868,35345643,40030306.47,39511799.3,42418044.94,45259876.72,45347730.86,46602615.48,45162717.37,46607753.03,51084980.9,52771038.83,53657857.06,53360000.59,55209645.04,55165789.95,54463208.26,52820367.7,49849863.69,47203619.23
CIV,FAOSTAT_3,total_fertilizers,37000,38700,37000,54000,65000,66000,70500,110000,90000,70600,67100,68700,86853,82167,76213,49785,63763,69571,52814,44392,93049,56268,78063.35,108983.98,122922.26,146840.57,154413.98,137420.08,108057.16,181564.25
CMR,FAOSTAT_3,total_fertilizers,21800,18100,20900,22304,30000,30000,34000,39190,39533,49510,46084,52502,58221,48605,65934,47698,53859,51418,39102,41758,57282,68423,64081.55,62361.7,59650.42,84508.78,67602.46,80775.96,80291.94,80292.59
COD,FAOSTAT_3,total_fertilizers,6200,8200,2300,4100,10404,9000,6000,,2954,742,800,1965,,1844,1395,454,3048,4253,6347,5413,7508,7073,5235.87,10262.49,20185.24,21178.3,17611.34,21173.77,14995.73,18944.72
COG,FAOSTAT_3,total_fertilizers,1575,1400,2000,2000,1900,2000,4000,4000,5000,5000,5000,4625,,,1299,32,26,176,366,2289,276,697,1191.43,1610.12,1037.21,1114.8,1192.39,1269.98,1292.68,2341.13
COK,FAOSTAT_3,total_fertilizers,,,,,,,,,,,,,33,47,26,54,65,9,52,54,19,19,26.61,23.35,12.17,68.32,48.38,21.09,20.69,22.4
COL,FAOSTAT_3,total_fertilizers,602300,601200,511400,514900,497800,486200,485000,556700,595900,585900,658200,619719,716155.56,758380.36,814692.6,744738.59,797882.99,790437.74,739770.35,657384.27,841767.81,925700.52,926638.69,899856.44,1080136.04,1041429.68,1086586.94,1208108.37,1149625.6,1092418.12
CRI,FAOSTAT_3,total_fertilizers,108600,116400,122800,107500,129000,122000,149200,191000,199000,184000,167000,117173,125838.31,193130.4,157722.77,143542.48,177548.43,171608.71,183141.98,84252.81,116846.49,163810.44,147396.02,136843.35,131434.41,158493.92,149709.24,160067.88,162064.89,154805.53
CUB,FAOSTAT_3,total_fertilizers,580000,365000,249500,172000,124100,244000,235000,239400,169300,155500,130400,205900,141521.91,55869.95,60219.51,74577.16,108114.32,95663.34,130792.7,32860.52,125999.25,112710.94,136277.89,143144.57,169427.04,133786.1,99361.92,99610.66,74383.88,74383.88
CYP,FAOSTAT_3,total_fertilizers,22732,22144,28359,26213,26314,25575,25449,20339,20294,20183,14415,14707,15965,17722,14849,13404,12538,12060,9230,15768,16749,12701,16862,14660,12685,15544,16649.35,16369.59,16403.32,18071.37
CZE,FAOSTAT_3,total_fertilizers,,,,306303,336700,347700,346700,314072,299884,268867,330723,394716,263742,295144,279818,287382,301864,320042,278198,281484,303927,318224,403039,403869,404854,478861,489191,455322,433112,411656
DEU,FAOSTAT_3,total_fertilizers,3350700,2968658,2843851,2672215,2906436,2820946,2818925,2856819,2938428,3033160,2742776,2613413,2594893,2598369,2559567,2485044,2306976,2635171,1904141,2166995,2506576,2273908,2354038,2416417,2583830,2396137,2319996,2096816,1952990,2039392
DMA,FAOSTAT_3,total_fertilizers,3400,5000,4600,4600,4400,3212,2739,3000,3000,3000,3000,3000,433,741,993,1039,671,1380,223,349,313,901,508.95,735.68,482.45,912.96,532.13,248.29,131.28,4554
DNK,FAOSTAT_3,total_fertilizers,633200,580600,507000,483000,466000,438000,449000,437000,412000,375000,349000,308668,293318,313116,328516,319757,325250,328402,354718,250194,275297,282009,259000,280781,300512,321895,329836.09,386256.9,321584.71,325794.24
DOM,FAOSTAT_3,total_fertilizers,92291,94700,83900,78200,90700,94000,91900,108900,97800,93700,91695,97570,65907,42839,48522,47757,65983,77701,64319,64448,85605,75325,59571,63826,75786.62,117664.37,131537.84,132395.37,172381.62,172381.62
DZA,FAOSTAT_3,total_fertilizers,127000,91500,96800,130900,119300,46400,38000,97000,108000,93000,92300,105300,72765,45031,188038,55806,99072,111748,64231,107000,118500,118300,160100,168300,190500,175600,155700,155700,155700,155700
ECU,FAOSTAT_3,total_fertilizers,68021,82600,97800,94000,93000,101000,118000,162600,161711,175500,164400,349651,227966,203712,277785,195475,256205,237932,264652,224622,299057,318228,292420.11,281988.16,333695.96,272139.84,337154.54,382195.77,415077.1,376674.19
EGY,FAOSTAT_3,total_fertilizers,958946,963400,877442,988138,843236,1126400,1157500,1078743,1171128,1179500,1259731,1308348,1334000,1388100,1604900,1538000,1528000,1341400,1374500,1393200,1360000,1414000,1309800,1453500,1444100,1632000,1583000,1672000,1593100,1593100
ERI,FAOSTAT_3,total_fertilizers,,,,700,1300,1614,4993,6000,6500,10900,10900,5468,3505,828,3,1436,11,2338,,1920,288,567,678.69,820.37,1006.1,1603.15,1923.24,1774.36,4691.81,4599.35
ESP,FAOSTAT_3,total_fertilizers,1975901,1881742,1574798,1817690,1927400,1868700,2192100,2107900,2367000,2319963,2149400,2195800,2122908,2281502,2154369,1835448,1810431,1985092,1330529,1211296,1637100,1524000,1540841,1749149,1858350,1860169,1776136,1905402,1874129,1860154.94
EST,FAOSTAT_3,total_fertilizers,,,112710,64950,41683,28000,22172,27805,32397,27290,35025,29709,27007,39049,43782,36071,42298,45470,59997,41398,44111,45228,50304,52543,55813,55804,55188,59708,60369,62930.65
ETH,FAOSTAT_3,total_fertilizers,,,,75900,116100,134300,177549,131732,164062,167877,157480,134913,167624,62315,127464,139803,149111,225168,234026,246354,318203,316308,469378.11,282487.41,395507.3,443244.39,535409.54,551170.33,585972.8,585972.8
EUU,FAOSTAT_3,total_fertilizers,21414743,18684647,17601754,17979698,18510298,18347970,19179617,18885841,18755016,18477339,17106084,16757466,16720244,17334003,16812644,16096765,15766854,16953020,13879213,12292680,14439034,14078165,14411438.15,15031281.56,15204325.89,15495918.43,15452140.72,15837010.63,15560053.84,15482980.77
FIN,FAOSTAT_3,total_fertilizers,442650,339050,345040,340745,355105,340790,313000,314000,309000,310000,299000,297000,304000,284868,299327,314390,267677,276382,277660,210182,281135,193962,193962,194280.61,206893.56,200022.94,193521.79,200745.36,205594,213904.99
FJI,FAOSTAT_3,total_fertilizers,23000,14000,13100,14900,18000,18000,19000,19200,18400,14400,7500,10000,12152,3273,7699,6660,4271,4046,6950,3655,2698,5855,4773.16,5598.38,5842.38,8801.38,7595.47,8616.66,6304.31,6153.13
FRA,FAOSTAT_3,total_fertilizers,5682800,5565000,4530000,4604000,4712200,4914200,5064000,4988800,4837000,4753400,4144800,4178000,3881600,4099800,3896000,3537000,3491426,3828000,2785000,2201030,2754950,2582160,2939447,3101304,3087784,3148788,2994568,3147321,3130065,3016699.88
GAB,FAOSTAT_3,total_fertilizers,1121,600,500,400,400,400,200,200,433,300,300,300,1813,1174,1660,2712,2749,2944,3418,3907,1027,1836,3278.66,3295.9,4250.66,9937.79,10344.3,19701.85,14633.12,12909.75
GBR,FAOSTAT_3,total_fertilizers,2388000,2171000,2003000,2075000,2219000,2191000,2376000,2270000,2081000,1996000,1764000,1870000,1871000,1788000,1778000,1672000,1563000,1549000,1541000,1285000,1451000,1497000,1447000,1460000,1545000,1517000,1493000,1512000,1483000,1491000
GEO,FAOSTAT_3,total_fertilizers,,,72000,53900,31000,31000,32200,36500,34000,40000,42000,28000,26400,11524,14223,25045,21958,19140,18429.47,20932,18520.63,17558.39,21488.98,30515.16,25069.34,23704.45,25841.2,21247.01,21394.23,21050.01
GHA,FAOSTAT_3,total_fertilizers,13000,8000,10100,7568,7700,9700,17400,21316,15184,15406,11886,31027,15660,28621,52802,23995,84251,76368,65473,87306,86395,62448,163361,118718,73800,111600,100700,174600,127100,187100
GIN,FAOSTAT_3,total_fertilizers,1161,1938,506,1575,4000,5106,4249,1796,3284,3200,3200,3200,2400,1965,2627,2521,2430,3398,3698,1807,2705,10391,8795.5,8891.01,3171.57,2829.76,2349,26387.89,21257.77,21257.77
GMB,FAOSTAT_3,total_fertilizers,600,900,800,800,800,944,805,1100,2500,1200,800,800,,2821,2508,3171,3172,2720,1585,2715,3285,4624,1162.04,181.78,204.82,245.12,299.69,172.21,3536.35,1856.63
GRC,FAOSTAT_3,total_fertilizers,696000,652100,628000,509000,527000,505000,560000,504000,472000,469000,456000,431000,424876,439589,463802,377485,322042,248751,304286,160706,314447,407574,278000,294253,273691,256770,268902,278471,288586.12,301175.69
GTM,FAOSTAT_3,total_fertilizers,117000,143200,157900,172000,169000,186000,183000,209345,172600,196500,211600,204896,142201,177660,199914,198367,204882,195067,121907,160175,226238,252543,285068,285460.46,278237.34,294870.37,261318.04,310172.28,308826.28,272151.14
