area,short names,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017,2018
AFG,water_withdrawal,,,,,99.0,98.85,98.67,98.43,98.17,98.17,98.17,98.17
AGO,water_withdrawal,,,,,76.04,56.37,40.73,27.7,20.78,20.78,20.78,20.78
ALB,water_withdrawal,,,,,,73.34,57.74,52.86,42.57,53.29,64.01,68.16
ARE,water_withdrawal,,,,76.5,71.12,68.07,72.39,81.53,78.31,68.44,60.25,59.35
ARG,water_withdrawal,,,,,,,73.37,71.36,72.9,73.93,73.93,73.93
ARM,water_withdrawal,,,,,,,66.22,65.77,66.95,71.68,73.17,69.34
ATG,water_withdrawal,,,,,,19.91,19.74,16.84,15.54,15.65,15.65,15.65
AUS,water_withdrawal,,,,,,,69.74,68.36,59.57,59.85,65.6,69.26
AUT,water_withdrawal,,,,3.9,4.36,2.73,2.74,2.79,2.51,2.21,2.21,2.21
AZE,water_withdrawal,,,,,,67.46,73.95,63.29,69.93,74.24,92.09,92.36
BDI,water_withdrawal,,,,,64.0,72.41,75.85,77.94,79.26,79.26,79.26,79.26
BEL,water_withdrawal,,,,3.53,2.29,0.98,0.21,0.57,0.59,0.72,1.13,1.13
BEN,water_withdrawal,,,,,59.61,62.36,56.29,42.53,32.37,26.12,25.21,25.21
BFA,water_withdrawal,,,,,79.74,80.59,78.01,55.6,51.43,51.43,51.43,51.43
BGD,water_withdrawal,,,,,,,,,,87.82,87.82,87.82
BGR,water_withdrawal,,,,,,27.53,22.75,11.28,11.28,16.61,14.76,13.35
BHR,water_withdrawal,,,,,,54.51,50.76,46.02,39.32,33.69,33.31,33.31
BLR,water_withdrawal,,,,,,,26.92,24.03,26.41,31.67,30.85,29.91
BLZ,water_withdrawal,,,,,90.0,55.48,63.44,67.72,67.72,67.72,67.72,67.72
BOL,water_withdrawal,,,,,85.0,88.17,90.31,91.31,91.82,91.95,91.95,91.95
BRA,water_withdrawal,,,,,,,60.26,57.04,56.22,57.32,60.03,58.14
BRB,water_withdrawal,,,,,,73.07,67.65,67.65,67.65,67.65,67.65,67.65
BRN,water_withdrawal,,,,,,,5.76,5.76,5.76,5.76,5.76,5.76
BTN,water_withdrawal,,,,,,,,,,94.08,94.08,94.08
BWA,water_withdrawal,,,,,,47.79,42.95,39.87,37.84,38.24,35.75,35.75
CAF,water_withdrawal,,,,,2.06,1.07,0.72,0.58,0.55,0.55,0.55,0.55
CAN,water_withdrawal,,,,,,9.02,9.43,7.68,5.62,10.2,7.41,7.53
CHE,water_withdrawal,,,,,,,,2.71,5.05,7.99,9.23,9.06
CHL,water_withdrawal,,,,,,,,,83.76,87.57,90.89,90.89
CHN,water_withdrawal,,,,87.56,84.95,79.34,72.49,67.13,63.01,64.31,64.4,64.4
CIV,water_withdrawal,,,,,67.0,65.91,53.01,40.83,40.72,47.95,51.64,51.64
CMR,water_withdrawal,,,,,35.35,35.0,68.05,72.6,67.71,67.71,67.71,67.71
COD,water_withdrawal,,,,,,,15.13,11.52,10.52,10.52,10.52,10.52
COG,water_withdrawal,,,,,11.0,10.11,9.3,8.7,4.36,4.36,4.36,4.36
COL,water_withdrawal,,,,,,,,60.42,55.1,66.99,73.53,73.45
COM,water_withdrawal,,,,,,,,47.0,47.0,47.0,47.0,47.0
CPV,water_withdrawal,,,,,,,,91.84,92.59,92.59,92.59,92.59
CRI,water_withdrawal,,,,,,,,,,71.56,73.33,72.03
CUB,water_withdrawal,,,,,,,51.52,52.43,50.15,63.23,64.94,64.94
CYP,water_withdrawal,,,81.81,78.41,75.76,73.77,74.19,75.94,66.02,67.32,61.95,0.0
CZE,water_withdrawal,,,,,,,0.8,0.98,1.51,2.35,2.86,3.02
DEU,water_withdrawal,,,,,,2.29,0.97,0.69,0.69,1.12,1.4,1.4
DJI,water_withdrawal,,,,,68.31,39.09,22.62,15.79,15.79,15.79,15.79,15.79
DMA,water_withdrawal,,,,,,,,,,5.0,5.0,5.0
DNK,water_withdrawal,,31.95,38.17,39.57,42.18,34.7,39.57,24.73,20.59,26.04,52.81,58.86
DOM,water_withdrawal,,,,,,,,84.49,81.02,81.44,83.31,83.31
DZA,water_withdrawal,,,,74.0,67.54,60.17,60.52,60.02,59.56,59.23,63.76,63.76
ECU,water_withdrawal,,,,,,,,84.23,81.43,81.43,81.43,81.43
EGY,water_withdrawal,,,,,,,86.25,86.28,86.03,85.06,79.16,79.16
ERI,water_withdrawal,,,,,,,,84.39,94.5,94.5,94.5,94.5
ESP,water_withdrawal,,,,,62.38,64.77,67.66,64.12,65.16,69.51,65.23,65.23
EST,water_withdrawal,,,,,,,1.37,2.12,0.41,0.27,0.25,0.29
ETH,water_withdrawal,,,,,,,,93.63,89.68,91.0,91.84,91.84
FIN,water_withdrawal,,,,,,1.31,1.93,2.17,4.99,11.66,17.39,14.29
FJI,water_withdrawal,,,,,60.0,60.76,61.08,60.26,58.89,58.89,58.89,58.89
FRA,water_withdrawal,,,,,,12.54,11.04,13.26,12.52,10.38,10.9,10.9
GAB,water_withdrawal,,,,,6.0,21.29,29.92,31.53,28.97,28.97,28.97,28.97
GBR,water_withdrawal,,,,,,9.03,14.78,9.39,15.62,12.77,14.05,14.05
GEO,water_withdrawal,,,,,,60.53,66.43,66.82,58.19,44.21,35.39,35.46
GHA,water_withdrawal,,54.73,59.18,61.87,63.67,64.96,65.92,67.96,71.24,73.39,73.06,73.06
GIN,water_withdrawal,,,,,87.03,76.51,63.87,53.65,58.7,63.23,66.79,67.42
GMB,water_withdrawal,,,,91.0,61.05,51.05,46.04,41.29,38.58,38.58,38.58,38.58
GNB,water_withdrawal,,,,,,69.59,82.29,79.56,75.79,75.79,75.79,75.79
GNQ,water_withdrawal,,,,,6.0,5.87,5.78,5.45,5.05,5.05,5.05,5.05
GRC,water_withdrawal,,67.69,83.63,83.66,86.27,98.28,87.41,90.94,87.83,83.37,80.0,80.09
GRD,water_withdrawal,,,,,,,,,19.62,16.01,14.89,14.89
GTM,water_withdrawal,,,,,,,,59.65,56.74,56.74,56.74,56.74
GUY,water_withdrawal,,,,,,98.49,97.89,96.48,94.61,94.34,94.34,94.34
HND,water_withdrawal,,,,,,,,,73.3,73.3,73.3,73.3
HRV,water_withdrawal,,,,,,,,1.03,0.49,5.11,10.58,10.58
HTI,water_withdrawal,,,,,,93.34,89.79,86.96,84.36,83.38,83.38,83.38
HUN,water_withdrawal,,22.38,22.45,28.8,28.96,13.3,7.31,11.88,5.52,6.37,11.52,11.51
IDN,water_withdrawal,,,,,,90.03,84.35,79.22,78.66,83.04,85.21,85.21
IND,water_withdrawal,,,93.4,94.22,93.57,91.88,91.62,91.23,90.68,90.41,90.41,90.41
IRL,water_withdrawal,,,,12.63,13.76,14.82,15.07,14.76,16.06,9.49,5.43,4.56
IRN,water_withdrawal,,,,,,,92.49,92.96,92.18,92.18,92.18,92.18
IRQ,water_withdrawal,,,97.47,97.5,95.26,88.33,81.66,79.95,83.58,88.76,87.81,91.48
