global_category,overview_category,map_category,column_name,long_name,Definition,group_indicator,Source,multiple_version
Overview,Overall Comparison with Previous NDC,Overall Comparison with Previous NDC,ndce_revised,Revised from previous submission,,,Climate Watch,TRUE
Overview,Overall Comparison with Previous NDC,Overall Comparison with Previous NDC,ndce_rdcd_ghg,Strengthened mitigation (reduced total GHG emissions in 2030),,,Climate Watch,TRUE
Overview,Overall Comparison with Previous NDC,Overall Comparison with Previous NDC,ndce_ghgt,Strengthened or added GHG target,,,Climate Watch,TRUE
Overview,Overall Comparison with Previous NDC,Overall Comparison with Previous NDC,ndce_sectoral,Strengthened or added sectoral target,,,Climate Watch,TRUE
Overview,Overall Comparison with Previous NDC,Overall Comparison with Previous NDC,ndce_pa,Strengthened or added policies and actions,,,Climate Watch,TRUE
Overview,Overall Comparison with Previous NDC,Overall Comparison with Previous NDC,ndce_adp,Strengthened adaptation,,,Climate Watch,TRUE
Overview,Overall Comparison with Previous NDC,Overall Comparison with Previous NDC,ndce_ctu,"Provided additional Information for clarity, transparency, and understanding",,,Climate Watch,TRUE
Overview,Summary of Commitment,,indc_summary,NDC summary,,,Climate Watch,TRUE
Overview,Summary of Commitment,,pledge_content,Pledge content,,,Pledges,FALSE
Overview,Summary of Commitment,,lts_vision,Long-term Vision,Description of the long-term vision ,,LTS,FALSE
Overview,Summary of Commitment,,lse_target_description,Target Description,,,LSE,FALSE
Overview,Summary of Commitment,Mitigation,mitigation_contribution_type,Mitigation contribution type,,,Climate Watch,TRUE
Overview,Summary of Commitment,,ghg_target,GHG target,,,Climate Watch,TRUE
Overview,Summary of Commitment,Mitigation,ghg_target_type,GHG target type,,,Climate Watch,TRUE
Overview,Summary of Commitment,,non_ghg_target,Non-GHG target,,,Climate Watch,TRUE
Overview,Summary of Commitment,Mitigation,time_target_year,Target year (mitigation),,,Climate Watch,TRUE
Overview,Summary of Commitment,,timeframe,Timeframe for implementation,,,Climate Watch,TRUE
Overview,Summary of Commitment,Adaptation,adaptation,Adaptation included,,,Climate Watch,TRUE
Overview,Summary of Commitment,,A_Tg_TarYr,Target year (adaptation),,,WB,TRUE
Overview,Summary of Commitment,Finance and Support,conditionality,Conditionality,,,Climate Watch,TRUE
